ride_id,seat_number,travel_date,travel_time,travel_from,car_type,max_capacity,number_of_tickets
5803,1,19-04-18,5:10,Kisii,shuttle,11,11.0
5803,2,19-04-18,5:10,Kisii,shuttle,11,11.0
5777,15B,27-11-17,7:10,Homa Bay,Bus,49,5.0
5803,1X,19-04-18,5:10,Kisii,shuttle,11,11.0
5777,16B,27-11-17,7:10,Homa Bay,Bus,49,5.0
5778,9A,27-11-17,7:12,Migori,Bus,49,31.0
5781,22B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,25,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,23B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,24A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5808,2B,19-04-18,7:06,Kisii,Bus,49,2.0
5808,1B,19-04-18,7:06,Kisii,Bus,49,2.0
5809,1,19-04-18,10:51,Kisii,shuttle,11,1.0
5810,1,19-04-18,7:15,Kisii,shuttle,11,1.0
5781,1B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5811,1,19-04-18,8:20,Kisii,shuttle,11,1.0
5812,1,19-04-18,5:30,Kisii,shuttle,11,1.0
5781,2B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5816,1,18-04-18,5:10,Kisii,shuttle,11,1.0
5797,13B,27-11-17,7:06,Keroka,Bus,49,3.0
5817,1,18-04-18,5:00,Kisii,shuttle,11,1.0
5781,9A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5822,1B,18-04-18,7:06,Kisii,Bus,49,1.0
5823,1,18-04-18,6:40,Kisii,shuttle,11,2.0
5823,9,18-04-18,6:40,Kisii,shuttle,11,2.0
5824,1,18-04-18,8:20,Kisii,shuttle,11,1.0
5825,1B,18-04-18,19:03,Kisii,Bus,49,1.0
5826,1,18-04-18,5:30,Kisii,shuttle,11,1.0
5781,24B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,13B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,14B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5830,1,17-04-18,5:20,Kisii,shuttle,11,1.0
5778,24B,27-11-17,7:12,Migori,Bus,49,31.0
5778,23B,27-11-17,7:12,Migori,Bus,49,31.0
5781,20B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,19B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5834,1B,17-04-18,7:02,Kisii,Bus,49,1.0
5835,1X,17-04-18,6:40,Kisii,shuttle,11,2.0
5836,1,17-04-18,6:50,Kisii,shuttle,11,1.0
5837,3A,17-04-18,7:06,Kisii,Bus,49,1.0
5835,1,17-04-18,6:40,Kisii,shuttle,11,2.0
5838,9,17-04-18,6:30,Kisii,shuttle,11,1.0
5839,1,17-04-18,7:20,Kisii,shuttle,11,1.0
5840,1,17-04-18,5:30,Kisii,shuttle,11,1.0
5781,10A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5844,1X,16-04-18,5:10,Kisii,shuttle,11,1.0
5845,1,16-04-18,5:00,Kisii,shuttle,11,1.0
5778,13B,27-11-17,7:12,Migori,Bus,49,31.0
5849,1B,16-04-18,7:06,Kisii,Bus,49,1.0
5850,1B,16-04-18,7:04,Kisii,Bus,49,1.0
5851,2B,16-04-18,19:05,Kisii,Bus,49,1.0
5852,1,16-04-18,7:15,Kisii,shuttle,11,1.0
5853,1,16-04-18,5:30,Kisii,shuttle,11,1.0
5856,9,15-04-18,5:20,Kisii,shuttle,11,11.0
5857,6,15-04-18,5:00,Kisii,shuttle,11,4.0
5857,3,15-04-18,5:00,Kisii,shuttle,11,4.0
5857,2,15-04-18,5:00,Kisii,shuttle,11,4.0
5857,1,15-04-18,5:00,Kisii,shuttle,11,4.0
5778,22A,27-11-17,7:12,Migori,Bus,49,31.0
5856,8,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,7,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,10,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,6,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,3,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,4,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,2,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,5,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,1,15-04-18,5:20,Kisii,shuttle,11,11.0
5856,1X,15-04-18,5:20,Kisii,shuttle,11,11.0
5858,9,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,10,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,7,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,6,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,4,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,3,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,8,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,5,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,2,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,1,15-04-18,5:10,Kisii,shuttle,11,11.0
5858,1X,15-04-18,5:10,Kisii,shuttle,11,11.0
5781,23A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5778,17A,27-11-17,7:12,Migori,Bus,49,31.0
5778,18A,27-11-17,7:12,Migori,Bus,49,31.0
5861,3A,15-04-18,19:04,Kisii,Bus,49,1.0
5862,2A,15-04-18,7:04,Kisii,Bus,49,1.0
5863,1,15-04-18,6:40,Kisii,shuttle,11,1.0
5864,1,15-04-18,5:30,Kisii,shuttle,11,1.0
5778,18B,27-11-17,7:12,Migori,Bus,49,31.0
5778,17B,27-11-17,7:12,Migori,Bus,49,31.0
5778,16B,27-11-17,7:12,Migori,Bus,49,31.0
5778,15B,27-11-17,7:12,Migori,Bus,49,31.0
5778,7B,27-11-17,7:12,Migori,Bus,49,31.0
5778,6B,27-11-17,7:12,Migori,Bus,49,31.0
5778,5B,27-11-17,7:12,Migori,Bus,49,31.0
5867,4,14-04-18,5:10,Kisii,shuttle,11,9.0
5867,3,14-04-18,5:10,Kisii,shuttle,11,9.0
5778,2B,27-11-17,7:12,Migori,Bus,49,31.0
5867,2,14-04-18,5:10,Kisii,shuttle,11,9.0
5778,1B,27-11-17,7:12,Migori,Bus,49,31.0
5867,5,14-04-18,5:10,Kisii,shuttle,11,9.0
5778,3B,27-11-17,7:12,Migori,Bus,49,31.0
5867,8,14-04-18,5:10,Kisii,shuttle,11,9.0
5868,6,14-04-18,5:20,Kisii,shuttle,11,6.0
5868,5,14-04-18,5:20,Kisii,shuttle,11,6.0
5778,4B,27-11-17,7:12,Migori,Bus,49,31.0
5867,9,14-04-18,5:10,Kisii,shuttle,11,9.0
5867,10,14-04-18,5:10,Kisii,shuttle,11,9.0
5867,1X,14-04-18,5:10,Kisii,shuttle,11,9.0
5867,1,14-04-18,5:10,Kisii,shuttle,11,9.0
5868,2,14-04-18,5:20,Kisii,shuttle,11,6.0
5868,3,14-04-18,5:20,Kisii,shuttle,11,6.0
5868,1,14-04-18,5:20,Kisii,shuttle,11,6.0
5778,24A,27-11-17,7:12,Migori,Bus,49,31.0
5781,15B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5868,1X,14-04-18,5:20,Kisii,shuttle,11,6.0
5778,19B,27-11-17,7:12,Migori,Bus,49,31.0
5873,1A,14-04-18,6:59,Kisii,Bus,49,1.0
5874,5A,14-04-18,7:06,Kisii,Bus,49,5.0
5874,1B,14-04-18,7:06,Kisii,Bus,49,5.0
5874,6A,14-04-18,7:06,Kisii,Bus,49,5.0
5874,3A,14-04-18,7:06,Kisii,Bus,49,5.0
5875,21A,27-11-17,7:08,Migori,Bus,49,3.0
5876,1,14-04-18,5:40,Kisii,shuttle,11,1.0
5874,4A,14-04-18,7:06,Kisii,Bus,49,5.0
5878,2,14-04-18,5:30,Kisii,shuttle,11,2.0
5878,1,14-04-18,5:30,Kisii,shuttle,11,2.0
5880,2,13-04-18,5:20,Kisii,shuttle,11,11.0
5778,20A,27-11-17,7:12,Migori,Bus,49,31.0
5881,1,13-04-18,5:00,Kisii,shuttle,11,1.0
5882,5,13-04-18,5:10,Kisii,shuttle,11,4.0
5882,2,13-04-18,5:10,Kisii,shuttle,11,4.0
5882,1X,13-04-18,5:10,Kisii,shuttle,11,4.0
5882,1,13-04-18,5:10,Kisii,shuttle,11,4.0
5880,6,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,5,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,7,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,8,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,9,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,10,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,3,13-04-18,5:20,Kisii,shuttle,11,11.0
5875,22B,27-11-17,7:08,Migori,Bus,49,3.0
5880,4,13-04-18,5:20,Kisii,shuttle,11,11.0
5880,1X,13-04-18,5:20,Kisii,shuttle,11,11.0
5875,23B,27-11-17,7:08,Migori,Bus,49,3.0
5880,1,13-04-18,5:20,Kisii,shuttle,11,11.0
5886,1,13-04-18,9:00,Kisii,shuttle,11,1.0
5887,25,13-04-18,7:06,Kisii,Bus,49,1.0
5888,1B,13-04-18,7:14,Kisii,Bus,49,1.0
5889,2B,13-04-18,7:07,Kisii,Bus,49,1.0
5890,1,13-04-18,5:30,Kisii,shuttle,11,1.0
5781,16B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5781,13A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5778,20B,27-11-17,7:12,Migori,Bus,49,31.0
5894,10,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,7,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,9,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,8,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,6,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,5,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,4,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,3,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,2,12-04-18,5:00,Kisii,shuttle,11,11.0
5894,1X,12-04-18,5:00,Kisii,shuttle,11,11.0
5897,10,12-04-18,5:20,Kisii,shuttle,11,11.0
5897,9,12-04-18,5:20,Kisii,shuttle,11,11.0
5897,7,12-04-18,5:20,Kisii,shuttle,11,11.0
5778,19A,27-11-17,7:12,Migori,Bus,49,31.0
5897,6,12-04-18,5:20,Kisii,shuttle,11,11.0
5897,8,12-04-18,5:20,Kisii,shuttle,11,11.0
5897,5,12-04-18,5:20,Kisii,shuttle,11,11.0
5897,2,12-04-18,5:20,Kisii,shuttle,11,11.0
5894,1,12-04-18,5:00,Kisii,shuttle,11,11.0
5781,8A,27-11-17,7:09,Homa Bay,Bus,49,26.0
5897,3,12-04-18,5:20,Kisii,shuttle,11,11.0
5897,4,12-04-18,5:20,Kisii,shuttle,11,11.0
5898,4,27-11-17,6:30,Keroka,shuttle,11,1.0
5899,1,27-11-17,6:30,Keumbu,shuttle,11,1.0
5901,9B,27-11-17,7:15,Migori,Bus,49,11.0
5901,12B,27-11-17,7:15,Migori,Bus,49,11.0
5901,10B,27-11-17,7:15,Migori,Bus,49,11.0
5902,4A,27-11-17,7:04,Homa Bay,Bus,49,5.0
5901,7A,27-11-17,7:15,Migori,Bus,49,11.0
5901,6B,27-11-17,7:15,Migori,Bus,49,11.0
5902,16A,27-11-17,7:04,Homa Bay,Bus,49,5.0
5902,10A,27-11-17,7:04,Homa Bay,Bus,49,5.0
5897,1,12-04-18,5:20,Kisii,shuttle,11,11.0
5901,18A,27-11-17,7:15,Migori,Bus,49,11.0
5901,17A,27-11-17,7:15,Migori,Bus,49,11.0
5901,15A,27-11-17,7:15,Migori,Bus,49,11.0
5902,15A,27-11-17,7:04,Homa Bay,Bus,49,5.0
5901,14A,27-11-17,7:15,Migori,Bus,49,11.0
5781,5B,27-11-17,7:09,Homa Bay,Bus,49,26.0
5901,6A,27-11-17,7:15,Migori,Bus,49,11.0
5902,19A,27-11-17,7:04,Homa Bay,Bus,49,5.0
5778,10A,27-11-17,7:12,Migori,Bus,49,31.0
5901,13A,27-11-17,7:15,Migori,Bus,49,11.0
5778,8B,27-11-17,7:12,Migori,Bus,49,31.0
5897,1X,12-04-18,5:20,Kisii,shuttle,11,11.0
5910,3,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,2,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,4,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,7,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,6,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,5,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,8,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,9,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,10,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,1,12-04-18,5:10,Kisii,shuttle,11,11.0
5910,1X,12-04-18,5:10,Kisii,shuttle,11,11.0
5918,1B,12-04-18,7:08,Kisii,Bus,49,1.0
5919,1B,12-04-18,8:00,Kisii,Bus,49,1.0
5920,1B,12-04-18,7:06,Kisii,Bus,49,1.0
5921,5A,12-04-18,7:14,Kisii,Bus,49,1.0
5922,1,12-04-18,9:50,Kisii,shuttle,11,1.0
5923,1,12-04-18,7:30,Kisii,shuttle,11,1.0
5924,1,12-04-18,10:57,Kisii,shuttle,11,1.0
5925,1,12-04-18,5:30,Kisii,shuttle,11,1.0
5928,1,11-04-18,5:20,Kisii,shuttle,11,1.0
5929,4,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,3,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,2,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,7,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,9,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,8,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,1X,11-04-18,5:10,Kisii,shuttle,11,8.0
5929,1,11-04-18,5:10,Kisii,shuttle,11,8.0
5931,1,11-04-18,5:00,Kisii,shuttle,11,1.0
5933,6,28-11-17,8:30,Keroka,shuttle,11,1.0
5940,1B,11-04-18,7:02,Kisii,Bus,49,1.0
5941,8,11-04-18,9:50,Kisii,shuttle,11,3.0
5941,2,11-04-18,9:50,Kisii,shuttle,11,3.0
5941,1,11-04-18,9:50,Kisii,shuttle,11,3.0
5942,1,11-04-18,11:01,Kisii,shuttle,11,1.0
5943,1,11-04-18,6:30,Kisii,shuttle,11,1.0
5944,7B,11-04-18,7:11,Kisii,Bus,49,1.0
5945,1,11-04-18,10:58,Kisii,shuttle,11,1.0
5946,1,11-04-18,5:30,Kisii,shuttle,11,1.0
5947,10B,28-11-17,7:12,Migori,Bus,49,11.0
5950,4A,28-11-17,7:09,Homa Bay,Bus,49,10.0
5951,4,10-04-18,5:10,Kisii,shuttle,11,6.0
5951,7,10-04-18,5:10,Kisii,shuttle,11,6.0
5951,10,10-04-18,5:10,Kisii,shuttle,11,6.0
5951,9,10-04-18,5:10,Kisii,shuttle,11,6.0
5950,16A,28-11-17,7:09,Homa Bay,Bus,49,10.0
5951,8,10-04-18,5:10,Kisii,shuttle,11,6.0
5947,15A,28-11-17,7:12,Migori,Bus,49,11.0
5951,1X,10-04-18,5:10,Kisii,shuttle,11,6.0
5953,1,10-04-18,5:00,Kisii,shuttle,11,1.0
5947,1B,28-11-17,7:12,Migori,Bus,49,11.0
5957,1B,10-04-18,7:06,Kisii,Bus,49,6.0
5958,1,10-04-18,6:40,Kisii,shuttle,11,1.0
5937,15B,28-11-17,7:06,Keroka,Bus,49,1.0
5959,1,10-04-18,5:40,Kisii,shuttle,11,1.0
5960,1,10-04-18,6:00,Kisii,shuttle,11,1.0
5957,12B,10-04-18,7:06,Kisii,Bus,49,6.0
5961,1,10-04-18,5:30,Kisii,shuttle,11,1.0
5957,12A,10-04-18,7:06,Kisii,Bus,49,6.0
5957,11A,10-04-18,7:06,Kisii,Bus,49,6.0
5947,5B,28-11-17,7:12,Migori,Bus,49,11.0
5957,10A,10-04-18,7:06,Kisii,Bus,49,6.0
5957,9A,10-04-18,7:06,Kisii,Bus,49,6.0
5950,10A,28-11-17,7:09,Homa Bay,Bus,49,10.0
5950,6A,28-11-17,7:09,Homa Bay,Bus,49,10.0
5947,13A,28-11-17,7:12,Migori,Bus,49,11.0
5964,10,09-04-18,5:10,Kisii,shuttle,11,2.0
5964,3,09-04-18,5:10,Kisii,shuttle,11,2.0
5965,1,09-04-18,5:00,Kisii,shuttle,11,1.0
5950,8A,28-11-17,7:09,Homa Bay,Bus,49,10.0
5947,4B,28-11-17,7:12,Migori,Bus,49,11.0
5947,3A,28-11-17,7:12,Migori,Bus,49,11.0
5969,4B,09-04-18,7:06,Kisii,Bus,49,2.0
5969,3B,09-04-18,7:06,Kisii,Bus,49,2.0
5971,5A,09-04-18,19:03,Kisii,Bus,49,1.0
5972,2,09-04-18,6:30,Kisii,shuttle,11,2.0
5972,1,09-04-18,6:30,Kisii,shuttle,11,2.0
5973,1,09-04-18,5:30,Kisii,shuttle,11,1.0
5976,1X,08-04-18,5:10,Kisii,shuttle,11,2.0
5976,1,08-04-18,5:10,Kisii,shuttle,11,2.0
5982,4A,08-04-18,7:06,Kisii,Bus,49,4.0
5982,3A,08-04-18,7:06,Kisii,Bus,49,4.0
5982,2B,08-04-18,7:06,Kisii,Bus,49,4.0
5983,1,08-04-18,9:10,Kisii,shuttle,11,1.0
5984,13B,08-04-18,7:03,Kisii,Bus,49,1.0
5982,1B,08-04-18,7:06,Kisii,Bus,49,4.0
5985,1,08-04-18,5:30,Kisii,shuttle,11,1.0
5986,8B,08-04-18,7:04,Kisii,Bus,49,1.0
5988,6A,28-11-17,7:08,Migori,Bus,49,3.0
5993,1B,07-04-18,7:06,Kisii,Bus,49,1.0
5994,1,07-04-18,6:58,Kisii,shuttle,11,1.0
5995,1,07-04-18,6:40,Kisii,shuttle,11,1.0
5996,1X,07-04-18,6:30,Kisii,shuttle,11,2.0
5997,1,07-04-18,11:05,Kisii,shuttle,11,1.0
5998,2,28-11-17,10:20,Keroka,shuttle,11,1.0
5996,1,07-04-18,6:30,Kisii,shuttle,11,2.0
6000,1,07-04-18,5:30,Kisii,shuttle,11,1.0
5947,5A,28-11-17,7:12,Migori,Bus,49,11.0
5947,17A,28-11-17,7:12,Migori,Bus,49,11.0
6003,2,06-04-18,5:10,Kisii,shuttle,11,5.0
6003,4,06-04-18,5:10,Kisii,shuttle,11,5.0
6003,3,06-04-18,5:10,Kisii,shuttle,11,5.0
6003,1,06-04-18,5:10,Kisii,shuttle,11,5.0
6003,1X,06-04-18,5:10,Kisii,shuttle,11,5.0
5950,3A,28-11-17,7:09,Homa Bay,Bus,49,10.0
5950,19A,28-11-17,7:09,Homa Bay,Bus,49,10.0
6008,2B,06-04-18,7:06,Kisii,Bus,49,2.0
6009,1,06-04-18,5:50,Kisii,shuttle,11,1.0
6008,1B,06-04-18,7:06,Kisii,Bus,49,2.0
6010,1,06-04-18,5:30,Kisii,shuttle,11,1.0
5950,9A,28-11-17,7:09,Homa Bay,Bus,49,10.0
6013,1,05-04-18,5:00,Kisii,shuttle,11,1.0
6015,1,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,1X,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,2,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,3,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,5,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,7,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,10,05-04-18,5:10,Kisii,shuttle,11,8.0
6015,9,05-04-18,5:10,Kisii,shuttle,11,8.0
5950,7A,28-11-17,7:09,Homa Bay,Bus,49,10.0
6019,3A,05-04-18,7:07,Kisii,Bus,49,2.0
6020,1B,05-04-18,7:06,Kisii,Bus,49,1.0
6019,4A,05-04-18,7:07,Kisii,Bus,49,2.0
6021,13A,05-04-18,19:05,Kisii,Bus,49,1.0
6022,1,05-04-18,5:30,Kisii,shuttle,11,1.0
5950,18B,28-11-17,7:09,Homa Bay,Bus,49,10.0
5947,8B,28-11-17,7:12,Migori,Bus,49,11.0
6029,1B,04-04-18,7:08,Kisii,Bus,49,1.0
6030,2B,04-04-18,7:06,Kisii,Bus,49,1.0
6031,1,04-04-18,6:00,Kisii,shuttle,11,1.0
5947,16B,28-11-17,7:12,Migori,Bus,49,11.0
6032,1,04-04-18,5:30,Kisii,shuttle,11,1.0
6037,1B,03-04-18,7:06,Kisii,Bus,49,1.0
6038,4A,03-04-18,7:07,Kisii,Bus,49,1.0
6039,1,03-04-18,10:53,Kisii,shuttle,11,1.0
6040,1,03-04-18,5:40,Kisii,shuttle,11,1.0
6041,1,03-04-18,7:20,Kisii,shuttle,11,1.0
6042,1,03-04-18,5:30,Kisii,shuttle,11,1.0
6045,1,02-04-18,5:00,Kisii,shuttle,11,1.0
6049,2B,02-04-18,7:06,Kisii,Bus,49,2.0
6049,1B,02-04-18,7:06,Kisii,Bus,49,2.0
6050,13A,02-04-18,7:12,Kisii,Bus,49,1.0
6051,1,02-04-18,5:30,Kisii,shuttle,11,1.0
5988,10A,28-11-17,7:08,Migori,Bus,49,3.0
5988,9A,28-11-17,7:08,Migori,Bus,49,3.0
6055,5A,28-11-17,7:04,Homa Bay,Bus,49,4.0
6058,1B,01-04-18,7:06,Kisii,Bus,49,1.0
6059,2,01-04-18,9:50,Kisii,shuttle,11,2.0
6055,3A,28-11-17,7:04,Homa Bay,Bus,49,4.0
6059,1,01-04-18,9:50,Kisii,shuttle,11,2.0
6060,1,01-04-18,5:30,Kisii,shuttle,11,1.0
6065,4A,31-03-18,7:04,Kisii,Bus,49,1.0
6066,3A,31-03-18,7:06,Kisii,Bus,49,1.0
6067,1,31-03-18,10:00,Kisii,shuttle,11,1.0
6068,1,31-03-18,8:50,Kisii,shuttle,11,1.0
6069,1,31-03-18,10:51,Kisii,shuttle,11,1.0
6070,1,31-03-18,5:30,Kisii,shuttle,11,1.0
6073,1,30-03-18,5:00,Kisii,shuttle,11,1.0
6080,1B,30-03-18,7:02,Kisii,Bus,49,1.0
6081,1,30-03-18,10:54,Kisii,shuttle,11,1.0
6082,1,30-03-18,5:40,Kisii,shuttle,11,1.0
6083,1,30-03-18,10:20,Kisii,shuttle,11,1.0
6084,1,30-03-18,5:30,Kisii,shuttle,11,1.0
6085,1,30-03-18,10:50,Kisii,shuttle,11,1.0
6055,14A,28-11-17,7:04,Homa Bay,Bus,49,4.0
6088,2,29-03-18,5:00,Kisii,shuttle,11,2.0
6089,1,29-03-18,5:10,Kisii,shuttle,11,1.0
6088,1,29-03-18,5:00,Kisii,shuttle,11,2.0
6095,1B,29-03-18,7:06,Kisii,Bus,49,2.0
6096,1,29-03-18,9:50,Kisii,shuttle,11,1.0
6097,1X,29-03-18,5:30,Kisii,shuttle,11,2.0
6095,9A,29-03-18,7:06,Kisii,Bus,49,2.0
6097,1,29-03-18,5:30,Kisii,shuttle,11,2.0
6099,3A,29-03-18,7:01,Kisii,Bus,49,1.0
6105,1,28-03-18,5:10,Kisii,shuttle,11,1.0
6106,1,28-03-18,5:00,Kisii,shuttle,11,1.0
6112,2B,28-03-18,7:06,Kisii,Bus,49,2.0
6112,1B,28-03-18,7:06,Kisii,Bus,49,2.0
6113,1,28-03-18,10:20,Kisii,shuttle,11,1.0
6114,1,28-03-18,8:50,Kisii,shuttle,11,1.0
6115,1,28-03-18,6:40,Kisii,shuttle,11,1.0
6116,8,28-03-18,7:00,Kisii,shuttle,11,1.0
6117,1,28-03-18,5:30,Kisii,shuttle,11,1.0
6055,6A,28-11-17,7:04,Homa Bay,Bus,49,4.0
6122,1,27-03-18,5:00,Kisii,shuttle,11,1.0
6127,2B,27-03-18,7:06,Kisii,Bus,49,2.0
6127,1B,27-03-18,7:06,Kisii,Bus,49,2.0
6128,1B,27-03-18,7:02,Kisii,Bus,49,1.0
6129,6,27-03-18,6:50,Kisii,shuttle,11,1.0
